SL,Name of Geospatial attributes,Description of the Field,Data Source,Web Source,Method of Geoprocessing,Unit,Risk component,Group of the factors ,Remarks,Assumption
51,rGDP_TTU,Inflation adjusted GDP from the Trade transportation and Utility,NOAA Digital coast,https://coast.noaa.gov/dataregistry/search/collection/info/coastaleconomy,Power Query and pandas,,TBD,Economic,,
52,Agri_Value,Values of Agricultural products,HAZUS,,HAZUS Dataset,,TBD,Economic,,
53,BUILDVALUE,Building value ,HAZUS,https://www.fema.gov/flood-maps/products-tools/hazus,HAZUS Dataset,,TBD,Economic,,
54,HPI_rate,Annual rate of change in HPI,FHFA,https://www.fhfa.gov/DataTools/Downloads/Pages/House-Price-Index.aspx,Annual change rate calculated for the year 1975-2022,,TBD,Economic,,
55,E_TOTPOP,"Population estimate, 2016-2020 ACS",CDC SoVI 2020,https://www.atsdr.cdc.gov/placeandhealth/svi/data_documentation_download.html,,,TBD,SoVI,,
56,M_TOTPOP,"Population estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
57,E_HU,"Housing units estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
58,M_HU,"Housing units estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
59,E_HH,"Households estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
60,M_HH,"Households estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
61,E_POV,"Persons below 150% poverty estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
62,M_POV,"Persons below 150% poverty estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
63,E_UNEMP,"Civilian (age 16+) unemployed estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
64,M_UNEMP,"Civilian (age 16+) unemployed estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
65,E_PCI,Per Capita Income,CDC SoVI 2020,*,,,TBD,SoVI,,
66,M_PCI,Margins of errors Indicate data reliability,CDC SoVI 2020,*,,,TBD,SoVI,,
67,E_NOHSDP,"Persons (age 25+) with no high school diploma estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
68,M_NOHSDP,"Persons (age 25+) with no high school diploma estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
69,E_AGE65,"Persons aged 65 and older estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
70,M_AGE65,"Persons aged 65 and older estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
71,E_AGE17,"Persons aged 17 and younger estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
72,M_AGE17,"Persons aged 17 and younger estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
73,E_DISABL,"Civilian noninstitutionalized population with a disability estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
74,M_DISABL,"Civilian noninstitutionalized population with a disability estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
75,E_SNGPNT,"Single-parent household with children under 18 estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
76,M_SNGPNT,"Single-parent household with children under 18 estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
77,E_MINRTY,"Minority (Hispanic or Latino (of any race); Black and African American, Not Hispanic or Latino; American Indian and Alaska Native, Not Hispanic or Latino; Asian, Not Hispanic or Latino; Native Hawaiian and Other Pacific Islander, Not Hispanic or Latino; Two or More Races, Not Hispanic or Latino; Other Races, Not Hispanic or Latino) estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
78,M_MINRTY,"Minority (Hispanic or Latino (of any race); Black and African American, Not Hispanic or Latino; American Indian and Alaska Native, Not Hispanic or Latino; Asian, Not Hispanic or Latino; Native Hawaiian and Other Pacific Islander, Not Hispanic or Latino; Two or More Races, Not Hispanic or Latino; Other Races, Not Hispanic or Latino) estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
79,E_LIMENG,"Persons (age 5+) who speak English ""less than well"" estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
80,M_LIMENG,"Persons (age 5+) who speak English ""less than well"" estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
81,E_MUNIT,"Housing in structures with 10 or more units estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
82,M_MUNIT,"Housing in structures with 10 or more units estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
83,E_MOBILE,"Mobile homes estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
84,M_MOBILE,"Mobile homes estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
85,E_CROWD,"At household level (occupied housing units), more people than rooms estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
86,M_CROWD,"At household level (occupied housing units), more people than rooms estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
87,E_NOVEH,"Households with no vehicle available estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
88,M_NOVEH,"Households with no vehicle available estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
89,E_GROUPQ,"Persons in group quarters estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
90,M_GROUPQ,"Persons in group quarters estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
91,EP_POV,Percentage of persons below 150% poverty estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
92,MP_POV,Percentage of persons below 150% poverty estimate MOE,CDC SoVI 2020,*,,,TBD,SoVI,,
93,EP_UNEMP,Unemployment Rate estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
94,MP_UNEMP,Unemployment Rate estimate MOE,CDC SoVI 2020,*,,,TBD,SoVI,,
95,EP_PCI,"Per capita income estimate, 2016- 2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
96,MP_PCI,"Per capita income estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
97,EP_NOHSDP,Percentage of persons with no high school diploma (age 25+) estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
98,MP_NOHSDP,Percentage of persons with no high school diploma (25+) estimate MOE,CDC SoVI 2020,*,,,TBD,SoVI,,
99,EP_AGE65,"Percentage of persons aged 65 and older estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
100,MP_AGE65,"Percentage of persons aged 65 and older estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
101,EP_AGE17,"Percentage of persons aged 17 and younger estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
102,MP_AGE17,"Percentage of persons aged 17 and younger estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
103,EP_DISABL,"Percentage of civilian noninstitutionalized population with a disability estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
104,MP_DISABL,"Percentage of civilian noninstitutionalized population with a disability estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
105,EP_SNGPNT,"Percentage of single-parent households with children under 18 estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
106,MP_SNGPNT,"Percentage of single-parent households with children under 18 estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
107,EP_MINRTY,,CDC SoVI 2020,*,,,TBD,SoVI,,
108,MP_MINRTY,,CDC SoVI 2020,*,,,TBD,SoVI,,
109,EP_LIMENG,"Percentage of persons (age 5+) who speak English ""less than well"" estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
110,MP_LIMENG,"Percentage of persons (age 5+) who speak English ""less than well"" estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
111,EP_MUNIT,Percentage of housing in structures with 10 or more units estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
112,MP_MUNIT,Percentage of housing in structures with 10 or more units estimate MOE,CDC SoVI 2020,*,,,TBD,SoVI,,
113,EP_MOBILE,Percentage of mobile homes estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
114,MP_MOBILE,Percentage of mobile homes estimate MOE,CDC SoVI 2020,*,,,TBD,SoVI,,
115,EP_CROWD,Percentage of occupied housing units with more people than rooms estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
116,MP_CROWD,Percentage of occupied housing units with more people than rooms estimate MOE,CDC SoVI 2020,*,,,TBD,SoVI,,
117,EP_NOVEH,Percentage of households with no vehicle available estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
118,MP_NOVEH,Percentage of households with no vehicle available estimate MOE,CDC SoVI 2020,*,,,TBD,SoVI,,
119,EP_GROUPQ,"Percentage of persons in group quarters estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
120,MP_GROUPQ,"Percentage of persons in group quarters estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
121,EPL_POV,Percentile percentage of POV,CDC SoVI 2020,*,,,TBD,SoVI,,
122,EPL_UNEMP,Percentile percentage of UNEMP,CDC SoVI 2020,*,,,TBD,SoVI,,
123,EPL_PCI,Percentile percentage of PCI,CDC SoVI 2020,*,,,TBD,SoVI,,
124,EPL_NOHSDP,Percentile percentage of NOHSDP,CDC SoVI 2020,*,,,TBD,SoVI,,
125,SPL_THEME1,Sum of series for Socioeconomic Status theme,CDC SoVI 2020,*,,,TBD,SoVI,,
126,RPL_THEME1,Percentile ranking for Socioeconomic Status theme summary,CDC SoVI 2020,*,,,TBD,SoVI,,
127,EPL_AGE65,Percentile percentage of persons aged 65 and older estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
128,EPL_AGE17,Percentile percentage of persons aged 17,CDC SoVI 2020,*,,,TBD,SoVI,,
129,EPL_DISABL,Percentile percentage of civilian noninstitutionalized population with a disability estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
130,EPL_SNGPNT,Percentile percentage of single-parent households with children under 18 estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
131,SPL_THEME2,Sum of series for Household Characteristics theme,CDC SoVI 2020,*,,,TBD,SoVI,,
132,RPL_THEME2,Percentile ranking for Household Characteristics theme summary,CDC SoVI 2020,*,,,TBD,SoVI,,
133,EPL_MINRTY,"Percentile percentage minority (Hispanic or Latino (of any race); Black and African American, Not Hispanic or Latino; American Indian and Alaska Native, Not Hispanic or Latino; Asian, Not Hispanic or Latino; Native
Hawaiian and Other
Pacific Islander, Not
Hispanic or Latino;
Two or More Races,
Not Hispanic or
Latino; Other
Races, Not Hispanic
or Latino) estimate",CDC SoVI 2020,*,,,TBD,SoVI,,
134,EPL_LIMENG,Sum of series for Racial and Ethnic Minority Status theme,CDC SoVI 2020,*,,,TBD,SoVI,,
135,SPL_THEME3,"Sum of series for Racial and Ethnic Minority Status
theme ",CDC SoVI 2020,*,,,TBD,SoVI,,
136,RPL_THEME3,Percentile ranking for Racial and Ethnic Minority Status theme,CDC SoVI 2020,*,,,TBD,SoVI,,
137,EPL_MUNIT,"Percentile percentage housing in structures with
10 or more units estimate",CDC SoVI 2020,*,,,TBD,SoVI,,
138,EPL_MOBILE,Percentile percentage mobile homes estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
139,EPL_CROWD,Percentile percentage households with more people than rooms estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
140,EPL_NOVEH,Percentile percentage households with no vehicle available estimate,CDC SoVI 2020,*,,,TBD,SoVI,,
141,EPL_GROUPQ,"Percentile percentage of persons in group
quarters estimate",CDC SoVI 2020,*,,,TBD,SoVI,,
142,SPL_THEME4,"Sum of series for Housing Type/ Transportation
theme",CDC SoVI 2020,*,,,TBD,SoVI,,
143,RPL_THEME4,Percentile ranking for Housing Type/ Transportation theme,CDC SoVI 2020,*,,,TBD,SoVI,,
144,SPL_THEMES,Overall percentile ranking,CDC SoVI 2020,*,,,TBD,SoVI,,
145,RPL_THEMES,Percentile ranking for,CDC SoVI 2020,*,,,TBD,SoVI,,
146,F_POV,"Flag - the percentage of persons below 150% poverty is in the 90th percentile (1 = yes, 0 = no)",CDC SoVI 2020,*,,,TBD,SoVI,,
147,F_UNEMP,"Flag - the percentage of civilian unemployed is in the 90th percentile (1 = yes, 0 = no)",CDC SoVI 2020,*,,,TBD,SoVI,,
148,F_PCI,Flag - the percentage of PCI,CDC SoVI 2020,*,,,TBD,SoVI,,
149,F_NOHSDP,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
150,F_THEME1,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
151,F_AGE65,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
152,F_AGE17,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
153,F_DISABL,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
154,F_SNGPNT,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
155,F_THEME2,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
156,F_MINRTY,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
157,F_LIMENG,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
158,F_THEME3,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
159,F_MUNIT,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
160,F_MOBILE,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
161,F_CROWD,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
162,F_NOVEH,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
163,F_GROUPQ,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
164,F_THEME4,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
165,F_TOTAL,Flag - the percentage of ,CDC SoVI 2020,*,,,TBD,SoVI,,
166,E_UNINSUR,"Adjunct variable -Uninsured in the total civilian noninstitutionalized population estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
167,M_UNINSUR,"Adjunct variable -Uninsured in the total civilian noninstitutionalized population estimate MOE, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
168,EP_UNINSUR,"Adjunct variable -
Percentage uninsured in the total civilian noninstitutionalized population estimate, 2014-2018 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
169,MP_UNINSUR,"Adjunct variable -Percentage uninsured in the total civilian noninstitutionalized population estimate, 2016-2020 ACS",CDC SoVI 2020,*,,,TBD,SoVI,,
170,E_DAYPOP,"Adjunct variable - Estimated daytime population, LandScan 2018",CDC SoVI 2020,*,,,TBD,SoVI,,
171,flowaccMean,Mean value of flow accumulation,GEE resources,,Geogle Earth Engine (GEE),Flow accumulation analysis,TBD,Physical/Ecosystem,,
172,meanSlope,Mean slope value of the county,GEE resources,,Geogle Earth Engine,Processed from 10 m National DEM,TBD,Physical/Ecosystem,,
173,terrainMean,Mean terrian elevation of the county,GEE resources,,Geogle Earth Engine,Average elevation calculated based on DEM,TBD,Physical/Ecosystem,,
174,Wetlands,Area occupied by wetlands,,,,,TBD,Physical/Ecosystem,,
175,Area_Saltmarsh,Area occupied by saltmarsh,,,,,TBD,Physical/Ecosystem,,
176,Mangrove_Area,Area occupied by mangrove forest,,,,,TBD,Physical/Ecosystem,,
177,Unclassified,,NLCD 2019,,,,TBD,Physical/Ecosystem,,
178,Open Water,,NLCD 2019,,,,TBD,Physical/Ecosystem,,
179,"Developed, Open Space",Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
180,"Developed, Low Intensity",Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
181,"Developed, Medium Intensity",Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
182,"Developed, High Intensity",Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
183,Barren Land,Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
184,Deciduous Forest,Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
185,Evergreen Forest,Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
186,Mixed Forest,Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
187,Shrub/Scrub,Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
188,Herbaceous,Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
189,Hay/Pasture,Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
190,Cultivated Crops,Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
191,Woody Wetlands,Land class ,NLCD 2019,,,,TBD,Physical/Ecosystem,,
192,Emergent Herbaceous Wetlands,Land class ,NLCD 2020,,,,TBD,Physical/Ecosystem,,
193,Area_skm,Area of county (sq. km),,,,,Hazard,,,
194,n100YR,"Projected flood hazards along the US Atlantic and Gulf Coasts.	a NCEP-based best estimate of 100-year flood level. 100 year for the historical period of 1980–2005 ",(Marsooli et al. 2019),,,,Hazard,,,
195,Dn100,Projected weighted average changes in ?100 year for the future period of 2070–2095 under the compound  effects of SLR and TC climatology change,(Marsooli et al. 2019),,,,Hazard,,,
196,RPERIOD,Storm surge hazard Return Period (100 yr),(Marsooli et al. 2019),,,,Hazard,,,
197,n100_SLR,SLR contribution to 100 yr flood hazard,(Marsooli et al. 2019),,,,Hazard,,,
198,n100_TC,TC contribution to 100 yr flood hazard,(Marsooli et al. 2019),,,,Hazard,,,
199,Pn100_SLR,,(Marsooli et al. 2019),,,,Hazard,,,
200,Pn100_TC,,(Marsooli et al. 2019),,,,Hazard,,,
201,H_count,Number of Category 1-5 hurricanes hit the coastal county,NOAA NHC,,,,Hazard,,,
202,LSR2100,Local sea level rise in 2100,Kopp et al. 2014,https://agupubs.onlinelibrary.wiley.com/doi/10.1002/2014EF000239,,,Hazard,,,
203,MEAN_rainfall_IDF,100 yr return period rainfall intensity,NOAA Atlas dataset,https://hdsc.nws.noaa.gov/pfds/,,,Hazard,,,
204,LRR,Rate of Shoreline change calculated using LRR method,USGS,,,,Hazard,,,
205,Fl_SLR,Projected area of flooding by 1 m SLR,,,,,Hazard,,,
